ID1,ID2,LINK TYPE (IMPACT/INVOLVEMENT),"LINK THEME (FACULTY, STUDENT, ENTREPRENEURSHIP, ETC.)","Health, Sustainability, Security",,
ORG8,001195902,Involvement,Undergraduate Financial Aid,,,
ORG8,001197131,Involvement,Undergraduate Financial Aid,,,
ORG8,001197747,Involvement,Undergraduate Financial Aid,,,
ORG8,001958151,Involvement,Undergraduate Financial Aid,,,
ORG9,001993768,Involvement,Undergraduate Financial Aid,,,
ORG9,001911270,Involvement,Undergraduate Financial Aid,,,
ORG9,001918542,Involvement,Undergraduate Financial Aid,,,
ORG9,001918542,Involvement,Undergraduate Financial Aid,,,
ORG9,001922775,Involvement,Undergraduate Financial Aid,,,
ORG9,001933287,Involvement,Undergraduate Financial Aid,,,
ORG9,001946292,Involvement,Undergraduate Financial Aid,,,
ORG9,001964114,Involvement,Undergraduate Financial Aid,,,
ORG9,001968756,Involvement,Undergraduate Financial Aid,,,
ORG9,001973318,Involvement,Undergraduate Financial Aid,,,
ORG9,001979693,Involvement,Undergraduate Financial Aid,,,
Z00094852,ORG73,Impact,Undergraduate Financial Aid,,,
Z00112427,ORG1,Impact,Undergraduate Financial Aid,,,
Z00136447,001262422,Impact,Undergraduate Financial Aid,,,
000370808,001112292,Impact,Undergraduate Financial Aid | Global,,,
000370808,001155877,Impact,Undergraduate Financial Aid | Global,,,
000370808,001751925,Impact,Undergraduate Financial Aid | Global,,,
000370808,001964409,Impact,Undergraduate Financial Aid | Global,,,
000665511,001103518,Impact,Undergraduate Financial Aid | Global,,,
000665511,001177673,Impact,Undergraduate Financial Aid | Global,,,
